"","habitat","cluster"
"1","seawater",1
"2","marine",2
"3","phyllosphere",3
"4","groundwater",2
"5","freshwater",2
"6","rhizosphere",2
"7","pig_gut",4
"8","plant",5
"9","soil",2
"10","wetland",2
"11","human_oral",6
"12","hydrothermal_vent",2
"13","marine_sediment",2
"14","activated_sludge",2
"15","wastewater",2
"16","money",6
"17","human",4
"18","human_gut",4
"19","bioreactor",2
"20","compost",5
"21","insect",5
"22","lake_water",2
"23","oral",6
"24","biofilm",1
"25","algae",1
"26","permafrost",2
"27","peat",2
"28","aquatic",2
"29","anaerobic_digester",7
"30","viral",1
"31","freshwater_sediment",2
"32","air",8
"33","mine_drainage",9
"34","rice_paddy",2
"35","microbial_mat",1
"36","gut",4
"37","tick",10
"38","subsurface",2
"39","insect_gut",11
"40","human_bile",4
"41","aquifer",1
"42","mixed_culture",12
"43","fungus",5
"44","salt_lake",2
"45","microbial_fuel_cell",13
"46","food_fermentation",14
"47","terrestrial",2
"48","root_associated_fungus",15
"49","fossil",13
"50","food",16
"51","rock",8
"52","coral",1
"53","root",5
"54","sediment",2
"55","sludge",7
"56","feces",4
"57","termite_gut",7
"58","glacier",7
"59","hypersaline_lake",1
"60","human_lung",6
"61","annelid",1
"62","sponge",17
"63","ant",5
"64","human_eye",16
"65","pollen",15
"66","leaf",15
"67","salt_marsh",1
"68","stromatolite",1
"69","human_skin",6
"70","activated_carbon",18
"71","landfill",7
"72","bovine",4
"73","skin",6
"74","lichen",19
"75","chicken_gut",4
"76","bat",16
"77","mouse_gut",4
"78","biosolids",18
"79","bioreactor_sludge",7
"80","paper_pulp",11
"81","hot_springs",2
"82","moss",19
"83","endophyte",3
"84","rock_porewater",20
"85","indoor",16
"86","biogas_fermenter",7
"87","invertebrate",21
"88","mine_tailings",2
"89","food_production",3
"90","estuary",2
"91","fermentation",4
"92","hypolithon",17
"93","bovine_gut",4
"94","human_reproductive_system",4
"95","bird",22
"96","surface",19
"97","symbiont",15
"98","sea_squirt",21
"99","hydrocarbon",23
"100","epibiont",21
"101","crab",16
"102","fish_gut",10
"103","urban",20
"104","oil_field",24
"105","beach_sand",17
"106","biofilter",25
"107","parasite",10
"108","mosquito",21
"109","oyster",21
"110","crustacean",9
"111","rat_gut",4
"112","cave",13
"113","plastic",26
"114","halite",8
